iter	Passed	Remaining
400	14469	21614
401	14503	21574
402	14534	21531
403	14565	21488
404	14598	21447
405	14629	21403
406	14663	21364
407	14695	21322
408	14726	21279
409	14758	21237
410	14791	21198
411	14823	21155
412	14855	21114
413	14886	21071
414	14918	21029
415	14948	20985
416	14982	20947
417	15014	20905
418	15051	20870
419	15083	20829
420	15118	20792
421	15152	20753
422	15195	20727
423	15226	20685
424	15261	20648
425	15301	20617
426	15334	20577
427	15366	20536
428	15397	20494
429	15427	20450
430	15457	20406
431	15489	20365
432	15520	20323
433	15551	20281
434	15582	20239
435	15614	20198
436	15645	20156
437	15677	20115
438	15709	20074
439	15742	20035
440	15774	19994
441	15808	19956
442	15840	19917
443	15871	19875
444	15904	19836
445	15935	19793
446	15967	19754
447	15998	19712
448	16032	19674
449	16064	19634
450	16099	19598
451	16130	19556
452	16161	19515
453	16198	19481
454	16233	19444
455	16266	19405
456	16302	19370
457	16337	19333
458	16369	19294
459	16401	19253
460	16432	19213
461	16468	19177
462	16499	19136
463	16531	19096
464	16562	19055
465	16594	19016
466	16628	18978
467	16660	18938
468	16693	18900
469	16728	18863
470	16758	18821
471	16787	18778
472	16819	18740
473	16849	18698
474	16882	18659
475	16912	18617
476	16943	18577
477	16975	18537
478	17009	18500
479	17043	18463
480	17077	18426
481	17116	18394
482	17152	18359
483	17188	18324
484	17220	18286
485	17252	18246
486	17286	18208
487	17320	18172
488	17352	18133
489	17382	18091
490	17412	18051
491	17446	18013
492	17477	17973
493	17508	17934
494	17541	17895
495	17578	17861
496	17611	17823
497	17644	17786
498	17677	17748
499	17709	17709
500	17740	17669
501	17772	17631
502	17802	17590
503	17834	17551
504	17867	17514
505	17899	17475
506	17931	17436
507	17962	17396
508	17998	17362
509	18034	17327
510	18067	17289
511	18102	17253
512	18143	17224
513	18176	17186
514	18215	17154
515	18248	17116
516	18282	17079
517	18317	17044
518	18350	17007
519	18382	16968
520	18416	16931
521	18448	16893
522	18480	16854
523	18511	16815
524	18544	16778
525	18576	16739
526	18608	16701
527	18642	16665
528	18675	16627
529	18707	16589
530	18738	16550
531	18769	16511
532	18803	16475
533	18834	16435
534	18866	16397
535	18898	16360
536	18934	16324
537	18975	16295
538	19008	16258
539	19044	16222
540	19079	16187
541	19110	16149
542	19143	16111
543	19179	16077
544	19216	16043
545	19249	16005
546	19285	15971
547	19317	15933
548	19349	15895
549	19383	15859
550	19418	15823
551	19452	15787
552	19484	15749
553	19522	15716
554	19553	15677
555	19584	15639
556	19614	15600
557	19645	15561
558	19676	15522
559	19711	15487
560	19747	15453
561	19779	15415
562	19812	15378
563	19850	15345
564	19882	15307
565	19914	15270
566	19945	15231
567	19977	15194
568	20010	15157
569	20043	15120
570	20076	15083
571	20109	15046
572	20141	15009
573	20174	14972
574	20216	14942
575	20253	14908
576	20286	14872
577	20319	14835
578	20352	14798
579	20383	14760
580	20415	14722
581	20447	14685
582	20480	14648
583	20511	14610
584	20543	14573
585	20579	14538
586	20613	14503
587	20648	14468
588	20682	14431
589	20718	14397
590	20756	14364
591	20794	14331
592	20829	14295
593	20864	14260
594	20897	14224
595	20930	14187
596	20965	14152
597	20999	14116
598	21035	14082
599	21070	14046
600	21104	14011
601	21140	13976
602	21177	13942
603	21215	13909
604	21256	13878
605	21290	13842
606	21324	13806
607	21356	13769
608	21389	13733
609	21422	13696
610	21454	13659
611	21487	13622
612	21524	13589
613	21557	13552
614	21591	13516
615	21623	13479
616	21658	13444
617	21691	13407
618	21723	13371
619	21757	13335
620	21789	13297
621	21821	13261
622	21854	13224
623	21885	13187
624	21917	13150
625	21952	13115
626	21987	13080
627	22028	13048
628	22069	13017
629	22108	12984
630	22146	12951
631	22179	12914
632	22212	12878
633	22252	12846
634	22288	12811
635	22322	12776
636	22356	12739
637	22386	12702
638	22420	12666
639	22452	12629
640	22487	12594
641	22520	12558
642	22560	12525
643	22601	12493
644	22643	12462
645	22681	12429
646	22720	12396
647	22756	12361
648	22794	12328
649	22828	12292
650	22862	12256
651	22897	12221
652	22931	12185
653	22964	12149
654	22999	12113
655	23031	12077
656	23064	12041
657	23099	12005
658	23134	11970
659	23167	11934
660	23200	11898
661	23237	11864
662	23272	11829
663	23309	11795
664	23348	11761
665	23383	11726
666	23419	11692
667	23453	11656
668	23492	11623
669	23527	11588
670	23563	11553
671	23600	11519
672	23635	11483
673	23670	11448
674	23708	11415
675	23748	11382
676	23787	11349
677	23825	11315
678	23862	11281
679	23902	11248
680	23942	11215
681	23983	11182
682	24024	11150
683	24063	11116
684	24100	11082
685	24139	11049
686	24175	11014
687	24211	10979
688	24248	10945
689	24284	10910
690	24323	10876
691	24362	10843
692	24398	10808
693	24436	10774
694	24473	10740
695	24511	10706
696	24547	10671
697	24583	10636
698	24619	10601
699	24654	10566
700	24691	10531
701	24726	10496
702	24759	10460
703	24794	10424
704	24832	10391
705	24869	10356
706	24908	10322
